customer_id,first_name,last_name,gender,age,city,country,signup_date,employment_status,annual_income,credit_score,risk_level
C046,Aisha,Khan,Male,45,Dammam,Saudi Arabia,2024-05-22,Salaried,113170,679,High
C047,Maryam,Hussain,Female,21,Riyadh,Saudi Arabia,2025-03-25,Self-Employed,86810,797,Medium
C048,Ali,Iqbal,Female,42,Dammam,Saudi Arabia,2024-08-11,Student,174066,559,Medium
C049,Zaid,Ansari,Female,22,Khobar,Saudi Arabia,2024-01-01,Student,91651,686,Medium
C050,Sara,Malik,Female,27,Dammam,Saudi Arabia,2024-09-16,Self-Employed,147057,667,Medium
C051,Noor,Qureshi,Male,32,Khobar,Saudi Arabia,2024-12-06,Self-Employed,85620,815,High
C052,Noor,Hussain,Male,39,Dammam,Saudi Arabia,2024-04-17,Self-Employed,124475,738,Medium
C053,Lina,Ansari,Female,30,Riyadh,Saudi Arabia,2024-05-25,Student,127867,547,Low
C054,Noor,Ansari,Male,29,Riyadh,Saudi Arabia,2024-01-24,Salaried,164554,812,Low
C055,Lina,Hussain,Male,44,Khobar,Saudi Arabia,2024-07-23,Salaried,78684,835,High
C056,Ali,Iqbal,Female,34,Jeddah,Saudi Arabia,2025-02-15,Student,175779,737,Low
C057,Maryam,Ansari,Male,49,Jeddah,Saudi Arabia,2025-02-14,Self-Employed,179233,786,High
C058,Fatima,Farooq,Female,55,Khobar,Saudi Arabia,2025-04-04,Salaried,164433,730,Medium
C059,Aisha,Shaikh,Female,60,Jeddah,Saudi Arabia,2024-05-20,Self-Employed,60311,646,Low
C060,Noor,Malik,Female,54,Riyadh,Saudi Arabia,2024-03-11,Salaried,100623,696,High
C061,Omar,Ansari,Male,46,Khobar,Saudi Arabia,2024-06-18,Student,162139,712,Low
C062,Aisha,Hussain,Female,57,Riyadh,Saudi Arabia,2025-03-14,Student,139714,744,Low
C063,Fatima,Shaikh,Female,46,Mecca,Saudi Arabia,2025-01-17,Student,97812,749,Low
C064,Noor,Hussain,Female,21,Khobar,Saudi Arabia,2024-06-21,Student,145989,584,Medium
C065,Omar,Syed,Male,45,Mecca,Saudi Arabia,2024-10-15,Student,47104,542,High
C066,Ahmed,Rahman,Female,31,Riyadh,Saudi Arabia,2024-05-13,Self-Employed,125813,608,Medium
C067,Fatima,Malik,Female,37,Khobar,Saudi Arabia,2024-05-09,Salaried,163288,509,High
C068,Maryam,Khan,Female,34,Riyadh,Saudi Arabia,2025-02-03,Student,50553,515,Low
C069,Aisha,Khan,Male,35,Jeddah,Saudi Arabia,2024-08-30,Student,69986,788,Low
C070,Lina,Shaikh,Female,30,Mecca,Saudi Arabia,2024-11-06,Student,70024,583,Medium
C071,Sara,Syed,Male,39,Mecca,Saudi Arabia,2024-12-12,Self-Employed,143980,601,Low
C072,Zaid,Ansari,Male,39,Mecca,Saudi Arabia,2025-02-16,Salaried,50766,677,High
C073,Ahmed,Malik,Male,52,Dammam,Saudi Arabia,2024-01-07,Self-Employed,168503,554,Medium
C074,Fatima,Farooq,Male,47,Jeddah,Saudi Arabia,2025-01-10,Student,110800,815,High
C075,Lina,Farooq,Female,57,Dammam,Saudi Arabia,2024-06-14,Salaried,62718,642,Medium
C076,Aisha,Farooq,Female,41,Riyadh,Saudi Arabia,2024-09-10,Self-Employed,87668,749,Low
C077,Fatima,Shaikh,Female,37,Mecca,Saudi Arabia,2024-12-25,Self-Employed,42661,764,Low
C078,Sara,Ansari,Female,51,Mecca,Saudi Arabia,2025-01-23,Salaried,164804,830,High
C079,Lina,Farooq,Male,25,Dammam,Saudi Arabia,2024-04-23,Self-Employed,103780,656,High
C080,Zaid,Malik,Female,55,Mecca,Saudi Arabia,2024-06-25,Self-Employed,126714,680,High
C081,Lina,Shaikh,Female,36,Jeddah,Saudi Arabia,2024-03-02,Student,90484,661,Low
C082,Maryam,Rahman,Male,33,Khobar,Saudi Arabia,2024-05-21,Student,177530,805,Medium
C083,Sara,Ansari,Female,34,Dammam,Saudi Arabia,2024-04-01,Self-Employed,43708,773,Low
C084,Noor,Khan,Male,55,Dammam,Saudi Arabia,2024-12-23,Salaried,168680,552,Low
C085,Zaid,Shaikh,Female,50,Khobar,Saudi Arabia,2024-06-23,Salaried,53468,629,Medium
C086,Sara,Iqbal,Female,51,Riyadh,Saudi Arabia,2024-10-22,Student,54053,577,Low
C087,Zaid,Shaikh,Male,35,Riyadh,Saudi Arabia,2024-10-12,Self-Employed,99162,767,Medium
C088,Lina,Farooq,Female,57,Khobar,Saudi Arabia,2024-06-05,Student,55789,812,High
C089,Sara,Ansari,Male,36,Riyadh,Saudi Arabia,2024-03-21,Salaried,85564,782,Low
C090,Omar,Khan,Female,48,Mecca,Saudi Arabia,2024-08-28,Self-Employed,48556,618,Medium
C091,Noor,Farooq,Male,34,Dammam,Saudi Arabia,2025-02-07,Student,91857,717,Low
C092,Maryam,Ansari,Male,37,Jeddah,Saudi Arabia,2024-02-06,Salaried,83495,657,High
C093,Zaid,Shaikh,Female,27,Khobar,Saudi Arabia,2024-12-18,Self-Employed,145515,639,High
C094,Maryam,Farooq,Female,25,Mecca,Saudi Arabia,2024-01-21,Self-Employed,124494,809,Medium
C095,Ali,Iqbal,Male,56,Mecca,Saudi Arabia,2025-05-01,Salaried,110650,795,Low
C096,Omar,Farooq,Female,37,Jeddah,Saudi Arabia,2024-10-26,Self-Employed,168902,546,Medium
C097,Fatima,Hussain,Female,40,Riyadh,Saudi Arabia,2025-03-15,Salaried,126456,710,High
C098,Lina,Shaikh,Female,55,Riyadh,Saudi Arabia,2024-08-20,Salaried,122448,629,Medium
C099,Sara,Hussain,Male,54,Khobar,Saudi Arabia,2024-07-30,Salaried,89173,765,Medium
C100,Zaid,Farooq,Female,23,Jeddah,Saudi Arabia,2024-05-16,Student,74344,647,Medium
C010,Ali,Ansari,Male,40,Khobar,Saudi Arabia,2024-05-17,Salaried,95307,790,High
C041,Different,Qureshi,Male,27,Riyadh,Saudi Arabia,2025-04-28,Student,79073,779,Low
